code,region_l2,division,River flood,Urban flood,Coastal flood,Earthquake,Landslide,Tsunami,Volcano,Cyclone,Water scarcity,Extreme heat,Wildfire,Data_Type,Synthetic_Seed_Code
72845,Administrative unit not available,Administrative unit not available,Medium,,,Medium,Medium,,,,Low,,,Original,
72798,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,,Low,Very low,,Original,
72785,Administrative unit not available,Administrative unit not available,Very low,,,Medium,High,,,Very low,Medium,Very low,,Original,
72794,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,Very low,Low,Low,,Original,
72795,Administrative unit not available,Administrative unit not available,Very low,,,,Medium,,,,Low,,,Original,
72810,Administrative unit not available,Administrative unit not available,Very low,,,High,High,,,Very low,Medium,Medium,,Original,
72818,Administrative unit not available,Administrative unit not available,Low,,,Medium,Low,,,,Low,,,Original,
72784,Administrative unit not available,Administrative unit not available,Very low,,,Medium,Medium,,,,High,High,,Original,
72848,Administrative unit not available,Administrative unit not available,Very low,,,,Medium,,,,Low,,,Original,
72843,Administrative unit not available,Administrative unit not available,Very low,,,Medium,High,,,Very low,Low,High,,Original,
72817,Administrative unit not available,Administrative unit not available,,,,Medium,Medium,,,,Low,Low,,Original,
72793,Administrative unit not available,Administrative unit not available,,,,Medium,Medium,,,,Low,Very low,,Original,
72783,Administrative unit not available,Administrative unit not available,,,,,Low,,,,Low,,,Original,
72799,Administrative unit not available,Administrative unit not available,,,,,Medium,,,,Low,,,Original,
72835,Administrative unit not available,Administrative unit not available,,,,,Very low,,,,Low,,,Original,
72837,Administrative unit not available,Administrative unit not available,,,,,Medium,,,,Low,,,Original,
72844,Administrative unit not available,Administrative unit not available,,,,,Medium,,,,Low,,,Original,
17545,Andaman and Nicobar,Andaman Islands,Very low,High,High,Medium,Medium,Medium,Low,High,Very low,Medium,Very low,Original,
17546,Andaman and Nicobar,Nicobar Islands,Very low,Very low,High,Medium,High,Medium,,High,Very low,Medium,Very low,Original,
17547,Andhra Pradesh,Adilabad,Medium,Low,,Medium,Low,,,Medium,Medium,High,High,Original,
17548,Andhra Pradesh,Anantapur,Low,Low,,Medium,Very low,,,High,High,High,High,Original,
17549,Andhra Pradesh,Chittoor,Low,Low,,Medium,Low,,,High,High,High,High,Original,
17550,Andhra Pradesh,Cuddapah,Medium,Low,,Medium,Low,,,High,Medium,High,High,Original,
17551,Andhra Pradesh,East Godavari,Medium,Medium,Medium,Medium,Medium,Medium,,High,Medium,High,High,Original,
17552,Andhra Pradesh,Guntur,Medium,Low,Very low,Medium,Very low,Medium,,High,High,High,High,Original,
17553,Andhra Pradesh,Hyderabad,Low,Low,,Medium,Very low,,,Medium,High,Medium,High,Original,
17554,Andhra Pradesh,Karimnagar,Medium,Low,,Medium,Very low,,,High,High,High,High,Original,
17555,Andhra Pradesh,Khammam,Medium,Low,,Medium,Low,,,High,High,High,High,Original,
17556,Andhra Pradesh,Krishna,High,Low,Medium,Medium,Very low,Medium,,High,High,High,High,Original,
17557,Andhra Pradesh,Kurnool,Low,Low,,Medium,Very low,,,High,High,High,High,Original,
17558,Andhra Pradesh,Mahbubnagar,Medium,Low,,Medium,Very low,,,High,High,High,High,Original,
17559,Andhra Pradesh,Medak,Medium,Low,,Medium,Very low,,,High,High,High,High,Original,
17560,Andhra Pradesh,Nalgonda,Low,Low,,Medium,Very low,,,High,High,High,High,Original,
17561,Andhra Pradesh,Nellore,Medium,Low,Medium,Medium,Very low,Medium,,High,High,High,High,Original,
17562,Andhra Pradesh,Nizamabad,Medium,Low,,Medium,Very low,,,Low,Medium,High,High,Original,
17563,Andhra Pradesh,Prakasam,Medium,Low,Medium,Medium,Low,Medium,,High,High,High,High,Original,
17564,Andhra Pradesh,Rangareddi,Low,Low,,Medium,Very low,,,High,High,High,High,Original,
17565,Andhra Pradesh,Srikakulam,High,Medium,High,Medium,Low,Medium,,High,Medium,High,High,Original,
17566,Andhra Pradesh,Vishakhapatnam,Medium,Medium,Medium,Medium,Medium,Medium,,High,Medium,High,High,Original,
17567,Andhra Pradesh,Vizianagaram,Medium,Medium,Medium,Medium,Low,Medium,,High,Medium,High,High,Original,
17568,Andhra Pradesh,Warangal,Low,Low,,Medium,Very low,,,High,High,High,High,Original,
17569,Andhra Pradesh,West Godavari,High,Low,Medium,Medium,Very low,Medium,,High,High,High,High,Original,
70083,Arunachal Pradesh,Changlang,High,High,,Medium,High,,,Low,Very low,High,High,Original,
17571,Arunachal Pradesh,East Siang,Medium,Very low,,Medium,Low,,,Very low,Very low,High,High,Original,
17572,Arunachal Pradesh,Lohit,High,High,,Medium,High,,,Low,Very low,High,High,Original,
70084,Arunachal Pradesh,Lower Dibang Valley,High,Medium,,Medium,High,,,Very low,Very low,High,High,Original,
17573,Arunachal Pradesh,Lower Subansiri,Very low,Very low,,Medium,High,,,,Very low,,Medium,Original,
70085,Arunachal Pradesh,Papum Pare,Very low,Very low,,Medium,Low,,,,Very low,High,High,Original,
17574,Arunachal Pradesh,Tirap,Very low,High,,Medium,High,,,Low,Very low,High,High,Original,
17575,Arunachal Pradesh,West Siang,Very low,Very low,,Medium,High,,,,Very low,High,High,Original,
17576,Assam,Barpeta,High,High,,Medium,Low,,,Very low,Very low,High,High,Original,
70086,Assam,Bongaigaon,High,High,,Medium,Low,,,Very low,Very low,High,High,Original,
17577,Assam,Cachar,High,High,,Medium,High,,,High,Medium,High,High,Original,
17578,Assam,Darrang,High,High,,Medium,Low,,,Very low,Very low,High,High,Original,
70087,Assam,Dhemaji,High,Low,,Medium,Low,,,Low,Very low,High,High,Original,
17579,Assam,Dhuburi,High,High,,Medium,Low,,,Low,Medium,High,High,Original,
17580,Assam,Dibrugarh,High,High,,Medium,Low,,,Low,Very low,High,High,Original,
17581,Assam,Goalpara,,High,,Medium,Low,,,Low,Very low,High,High,Original,
17582,Assam,Golaghat,High,High,,Medium,Low,,,Very low,Very low,High,High,Original,
70088,Assam,Hailakandi,High,High,,Medium,Medium,,,High,Very low,High,High,Original,
70089,Assam,Jorhat,High,Medium,,Medium,Very low,,,Low,Very low,High,High,Original,
17583,Assam,Kamrup,High,High,,Medium,Medium,,,Very low,Very low,High,High,Original,
17584,Assam,Karbi Anglong,High,High,,Medium,Medium,,,Low,Very low,High,High,Original,
17585,Assam,Karimganj,High,High,,Medium,Low,,,High,Medium,High,High,Original,
70090,Assam,Kokrajhar,High,High,,Medium,Low,,,Low,Medium,High,High,Original,
70091,Assam,Lakhimpur,High,High,,Medium,Very low,,,Low,Very low,High,High,Original,
70092,Assam,Marigaon,High,High,,Medium,Low,,,Very low,Very low,High,High,Original,
17589,Assam,Nagaon,High,High,,Medium,Low,,,Very low,Very low,High,High,Original,
17590,Assam,Nalbari,High,High,,Medium,Low,,,Very low,Very low,High,High,Original,
17591,Assam,North Cachar Hills,Low,Medium,,Medium,High,,,Low,Very low,High,High,Original,
17592,Assam,Sibsagar,High,High,,Medium,Very low,,,Low,Very low,High,High,Original,
17593,Assam,Sonitpur,High,Medium,,Medium,Low,,,Low,Very low,High,High,Original,
70093,Assam,Tinsukia,High,Medium,,Medium,Low,,,Low,Very low,High,High,Original,
70094,Bihar,Araria,High,Medium,,Medium,Very low,,,Low,High,High,High,Original,
17594,Bihar,Aurangabad,High,Low,,Medium,Very low,,,Low,High,High,High,Original,
70095,Bihar,Banka,Low,Low,,Medium,Very low,,,High,High,High,High,Original,
17595,Bihar,Begusarai,High,Medium,,Medium,Very low,,,Low,High,High,High,Original,
70096,Bihar,Bhabua,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
17596,Bihar,Bhagalpur,High,Low,,Medium,Very low,,,High,High,High,High,Original,
70097,Bihar,Bhojpur,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70098,Bihar,Buxar,Medium,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17598,Bihar,Darbhanga,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
17601,Bihar,Gaya,Medium,Low,,Medium,Very low,,,Low,High,High,High,Original,
17604,Bihar,Gopalganj,Medium,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70099,Bihar,Jamui,Low,Low,,Medium,Very low,,,High,High,High,High,Original,
17607,Bihar,Jehanabad,High,High,,Medium,,,,Low,High,High,High,Original,
17608,Bihar,Katihar,High,High,,Medium,Very low,,,High,High,High,High,Original,
17609,Bihar,Khagaria,High,Low,,Medium,Very low,,,Low,High,High,High,Original,
70100,Bihar,Kishanganj,High,High,,Medium,Very low,,,Low,High,High,High,Original,
70101,Bihar,Lakhisarai,High,Medium,,Medium,Very low,,,Low,High,High,High,Original,
17612,Bihar,Madhepura,High,Medium,,Medium,Very low,,,Low,High,High,High,Original,
17611,Bihar,Madhubani,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
17614,Bihar,Munger,Medium,Low,,Medium,Very low,,,Medium,High,High,High,Original,
17613,Bihar,Muzaffarpur,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
17615,Bihar,Nalanda,High,Medium,,Medium,Very low,,,Low,High,High,High,Original,
17616,Bihar,Nawada,Low,Low,,Medium,Very low,,,Medium,High,High,High,Original,
17618,Bihar,Pashchim Champaran,Medium,Low,,Medium,Low,,,Low,High,High,High,Original,
17619,Bihar,Patna,High,High,,Medium,Very low,,,Low,High,High,High,Original,
17620,Bihar,Purba Champaran,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17621,Bihar,Purnia,High,Medium,,Medium,Very low,,,Medium,High,High,High,Original,
17623,Bihar,Rohtas,Low,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17624,Bihar,Saharsa,High,High,,Medium,Very low,,,Low,High,High,High,Original,
17626,Bihar,Samastipur,High,Medium,,Medium,Very low,,,Low,High,High,High,Original,
17628,Bihar,Saran,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70102,Bihar,Sheikhpura,High,High,,Medium,Very low,,,Low,High,High,High,Original,
70103,Bihar,Sheohar,High,High,,Medium,Very low,,,Very low,High,High,High,Original,
17630,Bihar,Sitamarhi,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17631,Bihar,Siwan,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70104,Bihar,Supaul,High,Medium,,Medium,Very low,,,Low,High,High,High,Original,
17632,Bihar,Vaishali,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17823,Chandigarh,Chandigarh,Very low,Low,,Medium,Very low,,,,High,High,High,Original,
70105,Chhattisgarh,Bastar,Medium,High,,Medium,Low,,,High,Medium,High,High,Original,
70106,Chhattisgarh,Bilaspur,Medium,Low,,Medium,Low,,,Low,Medium,High,High,Original,
70107,Chhattisgarh,Dantewada,Medium,Medium,,Medium,Low,,,High,Medium,High,High,Original,
70108,Chhattisgarh,Dhamtari,Medium,Low,,Medium,Low,,,High,Low,High,High,Original,
17724,Chhattisgarh,Durg,Medium,Low,,Medium,Very low,,,Medium,Low,High,High,Original,
70109,Chhattisgarh,Janjgir-Champa,High,Low,,Medium,Very low,,,Medium,Low,High,High,Original,
70110,Chhattisgarh,Jashpur,Very low,Low,,Medium,Low,,,High,Low,High,High,Original,
70111,Chhattisgarh,Kanker,Low,Medium,,Medium,Low,,,High,Medium,High,High,Original,
70112,Chhattisgarh,Kawardha,Low,Low,,Medium,Low,,,Very low,Low,High,High,Original,
70113,Chhattisgarh,Korba,Low,Low,,Medium,Low,,,Low,Low,High,High,Original,
70114,Chhattisgarh,Koriya,Very low,Low,,Medium,Low,,,Very low,Medium,High,High,Original,
70115,Chhattisgarh,Mahasamund,Medium,Low,,Medium,Very low,,,High,Low,High,High,Original,
70297,Chhattisgarh,Raigarh,Low,Low,,Medium,Low,,,High,Low,High,High,Original,
70116,Chhattisgarh,Raipur,Medium,Low,,Medium,,,,High,Low,High,High,Original,
70117,Chhattisgarh,Raj Nandgaon,Low,Low,,Medium,Low,,,Low,Medium,High,High,Original,
70118,Chhattisgarh,Surguja,Very low,Very low,,Medium,Low,,,Medium,High,High,High,Original,
70119,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Very low,Medium,,Medium,High,,,High,Medium,High,High,Original,
70120,Daman and Diu,Daman,Very low,Very low,,Medium,Medium,Medium,,High,Medium,,High,Original,
70121,Daman and Diu,Junagadh,Medium,Low,High,Medium,Very low,Medium,,High,High,High,High,Original,
17633,Delhi,Delhi,High,High,,Medium,Very low,,,Very low,High,High,High,Original,
70122,Goa,North Goa,Low,High,Medium,Medium,High,Medium,,High,Low,High,High,Original,
70123,Goa,South Goa,Very low,High,Medium,Medium,Medium,Medium,,High,Very low,High,High,Original,
17635,Gujarat,Ahmadabad,Medium,Low,Medium,Medium,Very low,Medium,,High,High,High,High,Original,
17636,Gujarat,Amreli,Low,Low,High,Medium,Very low,Medium,,High,High,High,High,Original,
70124,Gujarat,Anand,Medium,Low,High,Medium,Very low,,,High,High,High,High,Original,
17637,Gujarat,Banas Kantha,Low,Very low,,Medium,Very low,,,Low,High,High,High,Original,
17638,Gujarat,Bharuch,Medium,Low,High,Medium,Very low,Medium,,High,High,High,High,Original,
17639,Gujarat,Bhavnagar,Low,Low,High,Medium,Very low,Medium,,High,High,High,High,Original,
70125,Gujarat,Dahod,Low,Low,,Medium,Low,,,Medium,High,High,High,Original,
17640,Gujarat,Gandhinagar,Medium,Low,,Medium,Very low,,,Low,High,High,High,Original,
17641,Gujarat,Jamnagar,Very low,Low,High,Medium,Very low,Medium,,High,High,High,High,Original,
17642,Gujarat,Junagadh,Low,Low,High,Medium,Very low,Medium,,High,High,High,High,Original,
17643,Gujarat,Kachchh,Medium,Low,High,Medium,Very low,Medium,,High,High,High,High,Original,
17644,Gujarat,Kheda,High,Low,,Medium,Very low,,,High,High,High,High,Original,
17645,Gujarat,Mahesana,Low,Very low,,Medium,Very low,,,Low,High,High,High,Original,
70126,Gujarat,Narmada,Low,Low,,Medium,Medium,,,High,Medium,High,High,Original,
70127,Gujarat,Navsari,Medium,Medium,High,Medium,Medium,Medium,,High,Medium,High,High,Original,
70128,Gujarat,Panch Mahals,Very low,Low,,Medium,Very low,,,Medium,High,High,High,Original,
70129,Gujarat,Patan,Medium,Very low,Medium,Medium,Very low,,,Medium,High,High,High,Original,
70130,Gujarat,Porbandar,High,Low,Medium,Medium,Very low,Medium,,High,High,High,High,Original,
17647,Gujarat,Rajkot,Very low,Low,High,Medium,Very low,,,High,High,High,High,Original,
17648,Gujarat,Sabar Kantha,Very low,Low,,Medium,Very low,,,Low,High,High,High,Original,
17649,Gujarat,Surat,Medium,Low,High,Medium,Low,Medium,,High,Medium,High,High,Original,
17650,Gujarat,Surendranagar,Low,Very low,Medium,Medium,Very low,,,High,High,High,High,Original,
17651,Gujarat,The Dangs,Very low,Very low,,Medium,High,,,High,Medium,High,High,Original,
17652,Gujarat,Vadodara,Medium,Low,Very low,Medium,Low,,,High,High,High,High,Original,
17653,Gujarat,Valsad,Low,Medium,High,Medium,High,Medium,,High,Medium,High,High,Original,
17654,Haryana,Ambala,Medium,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17655,Haryana,Bhiwani,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70131,Haryana,Faridabad,High,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70132,Haryana,Fatehabad,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
17657,Haryana,Gurgaon,Medium,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17658,Haryana,Hisar,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
70133,Haryana,Jhajjar,High,Medium,,Medium,Very low,,,Very low,Medium,High,High,Original,
17659,Haryana,Jind,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
70134,Haryana,Kaithal,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
17660,Haryana,Karnal,Medium,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17661,Haryana,Kurukshetra,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
17662,Haryana,Mahendragarh,Low,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70135,Haryana,Panchkula,Very low,Low,,Medium,Medium,,,Very low,High,High,High,Original,
70136,Haryana,Panipat,Medium,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70137,Haryana,Rewari,Low,Very low,,Medium,Very low,,,Very low,High,High,High,Original,
17663,Haryana,Rohtak,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
17664,Haryana,Sirsa,High,Medium,,Medium,Very low,,,Very low,High,High,High,Original,
17665,Haryana,Sonepat,Medium,Low,,Medium,Very low,,,Very low,High,High,High,Original,
70138,Haryana,Yamuna Nagar,Medium,Low,,Medium,Very low,,,Very low,High,High,High,Original,
17666,Himachal Pradesh,Bilaspur,Very low,Very low,,Medium,High,,,Very low,Medium,High,High,Original,
17667,Himachal Pradesh,Chamba,Very low,Low,,Medium,High,,,Very low,Medium,High,High,Original,
17668,Himachal Pradesh,Hamirpur,Low,Low,,Medium,Medium,,,Very low,Medium,High,High,Original,
17669,Himachal Pradesh,Kangra,Low,Low,,Medium,High,,,Very low,Medium,High,High,Original,
17670,Himachal Pradesh,Kinnaur,Very low,Very low,,Medium,High,,,Very low,Medium,Very low,High,Original,
17671,Himachal Pradesh,Kullu,Very low,High,,Medium,High,,,Very low,Medium,Low,High,Original,
17672,Himachal Pradesh,Lahul and Spiti,Very low,High,,Medium,Medium,,,Very low,Medium,Very low,High,Original,
17673,Himachal Pradesh,Mandi,Very low,Low,,Medium,High,,,Very low,Medium,Medium,High,Original,
17674,Himachal Pradesh,Shimla,Very low,Medium,,Medium,High,,,Very low,Medium,Low,High,Original,
17675,Himachal Pradesh,Sirmaur,Very low,Low,,Medium,High,,,Very low,High,High,High,Original,
17676,Himachal Pradesh,Solan,Very low,Low,,Medium,High,,,Very low,High,High,High,Original,
17677,Himachal Pradesh,Una,Very low,Low,,Medium,Medium,,,Very low,Medium,High,High,Original,
70139,Jharkhand,Bokaro,Low,Low,,Medium,Very low,,,High,Medium,High,High,Original,
70140,Jharkhand,Chatra,Very low,Low,,Medium,Very low,,,High,High,High,High,Original,
17600,Jharkhand,Deoghar,Very low,Low,,Medium,Very low,,,High,High,High,High,Original,
70141,Jharkhand,Dhanbad,Medium,Low,,Medium,Very low,,,High,Medium,High,High,Original,
70142,Jharkhand,Dumka,Very low,Medium,,Medium,Very low,,,High,High,High,High,Original,
70143,Jharkhand,Garhwa,Low,Low,,Medium,Low,,,Low,High,High,High,Original,
70144,Jharkhand,Giridih,Very low,Very low,,Medium,Very low,,,High,High,High,High,Original,
17603,Jharkhand,Godda,Low,Low,,Medium,Very low,,,High,High,High,High,Original,
70145,Jharkhand,Gumla,Very low,Very low,,Medium,Low,,,High,Medium,High,High,Original,
70146,Jharkhand,Hazaribag,Very low,Low,,Medium,Very low,,,High,High,High,High,Original,
70147,Jharkhand,Jamtara,Low,Very low,,Medium,Very low,,,High,Medium,High,High,Original,
70148,Jharkhand,Koderma,Low,Very low,,Medium,Very low,,,High,High,High,High,Original,
70149,Jharkhand,Latehar,Very low,Medium,,Medium,Low,,,High,Medium,High,High,Original,
17610,Jharkhand,Lohardaga,Very low,Low,,Medium,Low,,,High,Medium,High,High,Original,
70150,Jharkhand,Pakur,Medium,Medium,,Medium,Very low,,,High,Medium,High,High,Original,
70151,Jharkhand,Palamu,Medium,Low,,Medium,Very low,,,Low,High,High,High,Original,
70152,Jharkhand,Pashchim Singhbhum,Low,Medium,,Medium,Low,,,High,Medium,High,High,Original,
70153,Jharkhand,Purba Singhbhum,Low,Low,,Medium,Low,,,High,Medium,High,High,Original,
17622,Jharkhand,Ranchi,Very low,Low,,Medium,Low,,,High,Medium,High,High,Original,
70154,Jharkhand,Sahibganj,High,Medium,,Medium,Low,,,High,High,High,High,Original,
70155,Jharkhand,Saraikela Kharsawan,Low,Low,,Medium,Low,,,High,Medium,High,High,Original,
70156,Jharkhand,Simdega,Very low,Very low,,Medium,Very low,,,High,Low,High,High,Original,
70157,Karnataka,Bagalkot,High,Medium,,Medium,Very low,,,High,Medium,High,High,Original,
70158,Karnataka,Bangalore Rural,Low,Low,,Medium,Low,,,High,High,Medium,High,Original,
70159,Karnataka,Bangalore Urban,Low,Low,,Medium,Very low,,,High,High,Medium,High,Original,
17679,Karnataka,Belgaum,Medium,Low,,Medium,Very low,,,High,Medium,High,High,Original,
17680,Karnataka,Bellary,Low,Low,,Medium,Very low,,,Medium,High,High,High,Original,
17681,Karnataka,Bidar,Medium,Low,,Medium,Very low,,,Low,Medium,Medium,High,Original,
17682,Karnataka,Bijapur,Low,Low,,Medium,Very low,,,High,Medium,High,High,Original,
70160,Karnataka,Chamrajnagar,Low,Low,,Medium,Medium,,,High,Medium,Medium,High,Original,
17683,Karnataka,Chikmagalur,Low,Low,,Medium,Medium,,,High,Medium,High,High,Original,
70161,Karnataka,Chitradurga,Low,Low,,Medium,Very low,,,Medium,High,Medium,High,Original,
17685,Karnataka,Dakshin Kannad,Very low,Medium,Medium,Medium,High,Medium,,High,Medium,High,High,Original,
70162,Karnataka,Davanagere,Low,Low,,Medium,Very low,,,Medium,Medium,Medium,High,Original,
17686,Karnataka,Dharwad,Medium,Low,,Medium,Very low,,,High,Medium,Medium,High,Original,
70163,Karnataka,Gadag,Medium,Low,,Medium,Very low,,,High,Medium,Medium,High,Original,
17687,Karnataka,Gulbarga,Medium,Low,,Medium,Very low,,,High,High,High,High,Original,
17688,Karnataka,Hassan,Low,Low,,Medium,Low,,,High,Medium,Medium,High,Original,
70164,Karnataka,Haveri,Medium,Low,,Medium,Very low,,,Medium,Medium,Medium,High,Original,
17689,Karnataka,Kodagu,Very low,Low,,Medium,High,,,High,Medium,Medium,High,Original,
17690,Karnataka,Kolar,Low,Low,,Medium,Very low,,,High,High,Medium,High,Original,
70165,Karnataka,Koppal,Very low,Low,,Medium,Very low,,,High,Medium,High,High,Original,
17691,Karnataka,Mandya,Medium,Low,,Medium,Very low,,,High,Medium,Medium,High,Original,
17692,Karnataka,Mysore,Medium,Low,,Medium,Very low,,,High,Medium,Medium,High,Original,
17693,Karnataka,Raichur,Medium,Low,,Medium,Very low,,,Medium,High,High,High,Original,
17694,Karnataka,Shimoga,Low,Low,Very low,Medium,Medium,,,High,Medium,Medium,High,Original,
17695,Karnataka,Tumkur,Low,Low,,Medium,Very low,,,High,High,Medium,High,Original,
